id,question,product_family,expected_sql,generated_sql,filters,retrieved_tables,match,gen_error,exp_rows,gen_rows,elapsed_s
ls_01_warping,Which 12K 5u lens has the least warping at the edges?,line_scan,"SELECT model_name, tv_distortion_percent FROM line_scan_lens_12k5u ORDER BY ABS(tv_distortion_percent) ASC LIMIT 1;","SELECT model_name, tv_distortion_percent
FROM motorized_bi_telecentric_lenses
WHERE magnification_raw ILIKE '%12K%'
ORDER BY ABS(tv_distortion_percent) ASC
LIMIT 1;","{""product_type"": ""telecentric""}","['standard_telecentric_lenses_1_1_inch', 'standard_telecentric_lenses_2_3_inch', 'motorized_bi_telecentric_lenses']",False,,1,0,32.72
ls_02_price_weight,Show all 16K 5u lenses with their price and weight,line_scan,"SELECT model_name, list_price, weight_g FROM line_scan_lens_16k5u;","SELECT model_name, list_price, weight_g
FROM line_scan_lens_16k5u;","{""resolution_target"": ""16K"", ""pixel_pitch_um"": 5.0}",['line_scan_lens_16k5u'],True,,16,16,17.15
ls_03_heaviest,What is the heaviest 8K 7u line scan lens?,line_scan,"SELECT model_name, weight_g FROM line_scan_lens_8k7u WHERE weight_g IS NOT NULL ORDER BY weight_g DESC LIMIT 1;","SELECT model_name, weight_g FROM line_scan_lens_8k7u WHERE weight_g IS NOT NULL ORDER BY weight_g DESC LIMIT 1;","{""product_type"": ""line_scan"", ""resolution_target"": ""8K"", ""pixel_pitch_um"": 7.0}",['line_scan_lens_8k7u'],True,,1,1,5.99
ls_04_cross_gen,Compare the maximum aperture of the old 4K 7 micron lenses with the new series.,line_scan,"SELECT 'original' AS series, model_name, f_no_min FROM line_scan_lens_4k7u UNION ALL SELECT 'new_series' AS series, model_name, f_no_min FROM new_series_line_scan_lens_4k7u ORDER BY f_no_min;","SELECT model_name, f_no_min AS max_aperture
FROM fa_lenses
WHERE model_name ILIKE '%4K 7 micron%'
UNION ALL
SELECT model_name, f_no_min AS max_aperture
FROM fa_lenses
WHERE model_name ILIKE '%new series%'","{""product_type"": ""fa_lens""}",['fa_lenses'],False,,12,0,5.56
fa_01_cheapest,What is the cheapest FA lens?,fa_lens,"SELECT model_name, list_price FROM fa_lenses WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","SELECT model_name, list_price FROM fa_lenses WHERE list_price IS NOT NULL ORDER BY list_price ASC LIMIT 1;","{""product_type"": ""fa_lens""}",['fa_lenses'],True,,1,1,5.27
fa_02_focal_filter,Show FA lenses with focal length over 50mm,fa_lens,"SELECT model_name, focus_length_mm FROM fa_lenses WHERE focus_length_mm > 50;","SELECT model_name, focus_length_mm, megapixel_rating, mount_raw
FROM fa_lenses
WHERE focus_length_mm > 50;","{""product_type"": ""fa_lens""}",['fa_lenses'],True,,4,4,5.71
fa_03_widest_aperture,Which FA lens has the widest aperture?,fa_lens,"SELECT model_name, f_no_min FROM fa_lenses WHERE f_no_min IS NOT NULL ORDER BY f_no_min ASC LIMIT 1;","SELECT model_name, f_no_min FROM fa_lenses WHERE f_no_min IS NOT NULL ORDER BY f_no_min ASC LIMIT 1;","{""product_type"": ""fa_lens""}",['fa_lenses'],True,,1,1,4.25
tc_01_wd_filter,Show all non-standard telecentric lenses with working distance over 100mm,telecentric,"SELECT model_name, wd_mm FROM non_standard_telecentric_lenses WHERE wd_mm > 100;","SELECT model_name, wd_mm, magnification_value
FROM non_standard_telecentric_lenses
WHERE wd_mm > 100;","{""product_type"": ""telecentric""}","['non_standard_telecentric_lenses', 'standard_telecentric_lenses_2_3_inch', 'standard_telecentric_lenses_1_1_inch']",True,,29,29,5.52
tc_02_most_expensive,What is the most expensive telecentric lens for 65 megapixel sensors?,telecentric,"SELECT model_name, list_price FROM telecentric_lenses_65mp WHERE list_price IS NOT NULL ORDER BY list_price DESC LIMIT 1;","SELECT model_name, list_price 
FROM telecentric_lenses_65mp 
WHERE list_price IS NOT NULL 
ORDER BY list_price DESC 
LIMIT 1;","{""product_type"": ""telecentric""}","['telecentric_lenses_65mp', 'non_standard_telecentric_lenses', 'standard_telecentric_lenses_1_1_inch']",True,,1,1,4.61
tc_03_low_distortion,Which standard 2/3 inch telecentric lenses have distortion below 0.05%?,telecentric,"SELECT model_name, tv_distortion_percent FROM standard_telecentric_lenses_2_3_inch WHERE ABS(tv_distortion_percent) < 0.05;","SELECT model_name, tv_distortion_percent
FROM standard_telecentric_lenses_2_3_inch
WHERE tv_distortion_percent < 0.05
  AND tv_distortion_percent IS NOT NULL;","{""product_type"": ""telecentric""}","['standard_telecentric_lenses_2_3_inch', 'standard_telecentric_lenses_1_1_inch', 'non_standard_telecentric_lenses']",True,,6,6,6.18
