id,question,focus,expected_sql,generated_sql,filters_extracted,num_chunks_retrieved,match,failure_category,gen_execution_error,exp_execution_error,expected_rows,generated_rows,elapsed_seconds
q1_ambiguous_warping,Which 12K 5u lens has the least warping at the edges?,Tests if alias 'warping' maps to tv_distortion_percent and applies ABS() for correct physics sorting.,"SELECT model_name, tv_distortion_percent FROM line_scan_lens_12k5u ORDER BY ABS(tv_distortion_percent) ASC LIMIT 1;","SELECT model_name, tv_distortion_percent
FROM line_scan_lens_12k5u
ORDER BY ABS(tv_distortion_percent) ASC
LIMIT 1;","{""resolution_target"": ""12K"", ""pixel_pitch_um"": 5.0}",1,True,,,,1,1,32.64
q2_cross_generation,Compare the maximum aperture of the old 4K 7 micron lenses with the new series.,Tests UNION ALL structural generation and prompt adherence for 'maximum aperture' = f_no_min.,"SELECT 'original' AS series, model_name, f_no_min FROM line_scan_lens_4k7u UNION ALL SELECT 'new_series' AS series, model_name, f_no_min FROM new_series_line_scan_lens_4k7u ORDER BY f_no_min;","SELECT 'old_series' AS series, model_name, f_no_min AS max_aperture
FROM line_scan_lens_4k7u
UNION ALL
SELECT 'new_series' AS series, model_name, f_no_min AS max_aperture
FROM new_series_line_scan_lens_4k7u
ORDER BY max_aperture DESC;","{""resolution_target"": ""4K"", ""pixel_pitch_um"": 7.0, ""is_new_series"": true}",1,False,wrong_sort,,,12,12,24.66
q3_missing_filters,Show me all lenses that weigh under 200g.,Tests behavior when resolution/pitch filters are null. (Will fail currently until unified view is added).,"SELECT model_name, size_diameter_mm, size_length_min_mm, weight_g FROM all_lenses WHERE weight_g < 200;","SELECT model_name, weight_g
FROM line_scan_lens_12k5u
WHERE weight_g < 200;",{},5,False,invalid_sql,,"Execution failed on sql 'SELECT model_name, size_diameter_mm, size_length_min_mm, weight_g FROM all_lenses WHERE weight_g < 200;': relation ""all_lenses"" does not exist
LINE 1: ...ze_diameter_mm, size_length_min_mm, weight_g FROM all_lenses...
                                                             ^
",-1,0,75.84
q4_simple_lookup,List the focal length and price of all 16K 3.5 micron lenses.,Tests standard specification retrieval and column mapping.,"SELECT model_name, focus_length_mm, list_price FROM line_scan_lens_16k3_5u;","SELECT model_name, focus_length_mm, list_price
FROM line_scan_lens_16k3_5u;","{""resolution_target"": ""16K"", ""pixel_pitch_um"": 3.5}",1,True,,,,12,12,22.51
q5_compatibility_reasoning,Find 8K 7u lenses that fit a C-mount and support an image size over 40mm.,Tests multi-condition filtering and partial string matching (ILIKE).,"SELECT model_name, mount_raw, max_image_size_value FROM line_scan_lens_8k7u WHERE mount_raw ILIKE '%C%' AND max_image_size_value > 40;","SELECT model_name, mount_raw, max_image_size_value
FROM line_scan_lens_8k7u
WHERE mount_raw = 'C-mount'
  AND max_image_size_value > 40;","{""resolution_target"": ""8K"", ""pixel_pitch_um"": 7.0}",1,True,,,,0,0,26.18
q6_ambiguous_illuminance,Which 12K 5u lens has the best edge brightness?,Tests alias mapping from 'edge brightness' to relative_illuminance_percent and proper DESC sorting.,"SELECT model_name, relative_illuminance_percent FROM line_scan_lens_12k5u ORDER BY relative_illuminance_percent DESC LIMIT 1;","SELECT model_name, relative_illuminance_percent
FROM line_scan_lens_12k5u
ORDER BY relative_illuminance_percent DESC
LIMIT 1;","{""resolution_target"": ""12K"", ""pixel_pitch_um"": 5.0}",1,True,,,,1,1,37.34
q7_coaxial_dimensions,Show me coaxial line scan lenses that weigh less than 500g.,Tests boolean flag extraction (is_coaxial) and simple dimension filtering.,"SELECT model_name, weight_g FROM coaxial_illumination_line_scan_lens WHERE weight_g < 500;","SELECT model_name, weight_g
FROM coaxial_illumination_line_scan_lens
WHERE weight_g < 500;","{""is_coaxial"": true}",1,True,,,,0,0,31.0
q8_working_distance_range,Find new series 4K 7 micron lenses with a working distance between 80mm and 120mm.,Tests SQL BETWEEN syntax and proper table targeting for 'new series'.,"SELECT model_name, wd_mm, focus_length_mm FROM new_series_line_scan_lens_4k7u WHERE wd_mm BETWEEN 80 AND 120;","SELECT model_name, wd_mm, focus_length_mm
FROM new_series_line_scan_lens_4k7u
WHERE wd_mm BETWEEN 80 AND 120;","{""resolution_target"": ""4K"", ""pixel_pitch_um"": 7.0, ""is_new_series"": true}",1,True,,,,0,0,27.79
q9_complex_ambiguous_speed,I need an 8K 5u lens with the fastest speed and a standoff above 150mm.,"Tests multiple semantic mappings ('fastest speed' -> f_no_min, 'standoff' -> wd_mm) combined with filtering and sorting.","SELECT model_name, f_no_min, wd_mm FROM line_scan_lens_8k5u WHERE wd_mm > 150 ORDER BY f_no_min ASC LIMIT 1;","SELECT model_name, f_no_min, wd_mm
FROM line_scan_lens_8k5u
WHERE wd_mm > 150
ORDER BY f_no_min ASC
LIMIT 1;","{""resolution_target"": ""8K"", ""pixel_pitch_um"": 5.0}",1,True,,,,1,1,28.05
q10_conjugate_terminology,Compare the total conjugate distance of the 16K 5 micron lenses.,Tests mapping of 'total conjugate distance' to the 'o_i' column.,"SELECT model_name, o_i FROM line_scan_lens_16k5u;","SELECT model_name, o_i
FROM line_scan_lens_16k5u;","{""resolution_target"": ""16K"", ""pixel_pitch_um"": 5.0}",1,True,,,,16,16,26.07
